Id,Label,timeset,d0,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum
Slave Labour,Slave Labour,,0,3,0,3,3,0,3,0,0,0,0,14,0,2558
Gross Out,Gross Out,,0,2,0,2,2,0,2,0,0,0,0,6,0,8769
Red Light (Short Story),Red Light (Short Story),,0,2,0,2,2,0,2,0,0,0,0,13,0,4781
Lindsay Hoyle,Lindsay Hoyle,,0,3,0,3,3,0,3,0,0,0,0,16,0,4014
John Constable,John Constable,,0,7,0,7,7,0,7,0,0,0,0,16,0,9344
Michael Dirda,Michael Dirda,,0,4,0,4,4,0,4,0,0,0,0,3,0,18649
Columbia Records,Columbia Records,,0,3,0,3,3,0,3,0,0,0,0,18,0,19381
Lupin The Third Part 6,Lupin The Third Part 6,,0,4,0,4,4,0,4,0,0,0,0,1,0,8303
Netley Hospital,Netley Hospital,,0,2,0,2,2,0,2,0,0,0,0,11,0,10476
Diplomatic Uniform,Diplomatic Uniform,,0,2,0,2,2,0,2,0,0,0,0,0,0,15015
William Lucas (Actor),William Lucas (Actor),,0,2,0,2,2,0,2,0,0,0,0,3,0,8143
Programmed Cell Death,Programmed Cell Death,,0,2,0,2,2,0,2,0,0,0,0,18,0,2719
Seigneur,Seigneur,,0,3,0,3,3,0,3,0,0,0,0,7,0,12092
Frances De La Tour,Frances De La Tour,,0,2,0,2,2,0,2,0,0,0,0,9,0,13207
Monarchy Of Liechtenstein,Monarchy Of Liechtenstein,,0,2,0,2,2,0,2,0,0,0,0,16,0,3975
Team Downey,Team Downey,,0,3,0,3,3,0,3,0,0,0,0,2,0,1950
Modular Arithmetic,Modular Arithmetic,,0,2,0,2,2,0,2,0,0,0,0,14,0,11917
1984 European Parliament Election In The United Kingdom,1984 European Parliament Election In The United Kingdom,,0,2,0,2,2,0,2,0,0,0,0,16,0,18024
Prime Minister Of Albania,Prime Minister Of Albania,,0,2,0,2,2,0,2,0,0,0,0,16,0,3875
Duncan I Of Scotland,Duncan I Of Scotland,,0,2,0,2,2,0,2,0,0,0,0,12,0,10367
Fine Feathers (1937 Film),Fine Feathers (1937 Film),,0,3,0,3,3,0,3,0,0,0,0,9,0,19677
Lillie Langtry,Lillie Langtry,,0,3,0,3,3,0,3,0,0,0,0,9,0,10642
Prince Hamlet,Prince Hamlet,,0,2,0,2,2,0,2,0,0,0,0,2,0,10754
Ropinirole,Ropinirole,,0,2,0,2,2,0,2,0,0,0,0,12,0,10056
Scottish Statutory Instrument,Scottish Statutory Instrument,,0,2,0,2,2,0,2,0,0,0,0,16,0,3790
Knots And Crosses,Knots And Crosses,,0,2,0,2,2,0,2,0,0,0,0,18,0,15834
Vanessa Redgrave,Vanessa Redgrave,,0,3,0,3,3,0,3,0,0,0,0,9,0,2582
Ufotable,Ufotable,,0,2,0,2,2,0,2,0,0,0,0,6,0,8400
Kick,Kick,,0,4,0,4,4,0,4,0,0,0,0,6,0,13644
Rideback (Production Company),Rideback (Production Company),,0,2,0,2,2,0,2,0,0,0,0,1,0,2033
Aristotle,Aristotle,,0,6,0,6,6,0,6,0,0,0,0,18,0,7611
Louis Armstrong,Louis Armstrong,,0,2,0,2,2,0,2,0,0,0,0,16,0,10912
Jerry Bruckheimer Films,Jerry Bruckheimer Films,,0,2,0,2,2,0,2,0,0,0,0,1,0,2228
Hieroglyph,Hieroglyph,,0,2,0,2,2,0,2,0,0,0,0,7,0,9727
Peter Pan And The Pirates (Video Game),Peter Pan And The Pirates (Video Game),,0,2,0,2,2,0,2,0,0,0,0,11,0,637
Human Sacrifice,Human Sacrifice,,0,3,0,3,3,0,3,0,0,0,0,12,0,2743
Philip Jose Farmer,Philip Jose Farmer,,0,3,0,3,3,0,3,0,0,0,0,10,0,16333
Ti Media,Ti Media,,0,3,0,3,3,0,3,0,0,0,0,8,0,1047
Drug Policy Of India,Drug Policy Of India,,0,2,0,2,2,0,2,0,0,0,0,12,0,4240
Crime Drama,Crime Drama,,0,9,0,9,9,0,9,0,0,0,0,9,0,12889
The Old Curiosity Shop (1914 Film),The Old Curiosity Shop (1914 Film),,0,3,0,3,3,0,3,0,0,0,0,11,0,7169
Opium,Opium,,0,13,288,301,13,288,301,4,0.278579,0.29758,93920.439918,12,0,20032
German Invasion Of Luxembourg,German Invasion Of Luxembourg,,0,2,0,2,2,0,2,0,0,0,0,14,0,5653
Capital Punishment,Capital Punishment,,0,2,0,2,2,0,2,0,0,0,0,6,0,2777
Santiago Masarnau Fernández,Santiago Masarnau Fernández,,0,5,0,5,5,0,5,0,0,0,0,7,0,9207
Alan Ryan (Horror Writer),Alan Ryan (Horror Writer),,0,2,0,2,2,0,2,0,0,0,0,13,0,19040
Robin Hood (1973 Film),Robin Hood (1973 Film),,0,3,0,3,3,0,3,0,0,0,0,2,0,15616
Iso 2848,Iso 2848,,0,2,0,2,2,0,2,0,0,0,0,18,0,359
Lambeth Palace,Lambeth Palace,,0,3,0,3,3,0,3,0,0,0,0,16,0,8929
Streaming Media,Streaming Media,,0,2,0,2,2,0,2,0,0,0,0,8,0,11393
The New Republic,The New Republic,,0,2,0,2,2,0,2,0,0,0,0,1,0,8025
Houndstooth,Houndstooth,,0,2,0,2,2,0,2,0,0,0,0,0,0,14955
Azuchi–Momoyama Period,Azuchi–Momoyama Period,,0,2,0,2,2,0,2,0,0,0,0,6,0,13796
Siemens,Siemens,,0,2,0,2,2,0,2,0,0,0,0,16,0,11746
Pirate King (Mary Russell Novel),Pirate King (Mary Russell Novel),,0,5,0,5,5,0,5,0,0,0,0,10,0,4669
Lombardy,Lombardy,,0,2,0,2,2,0,2,0,0,0,0,18,0,6341
The Hound Of The Baskervilles (Tv Serial),The Hound Of The Baskervilles (Tv Serial),,0,130,171,301,130,171,301,3,0.367516,0.382582,9121.732768,9,0,20032
Alice (1988 Film),Alice (1988 Film),,0,4,0,4,4,0,4,0,0,0,0,11,0,15941
Bengal Famine Of 1943,Bengal Famine Of 1943,,0,3,0,3,3,0,3,0,0,0,0,14,0,5910
Marius Jacob,Marius Jacob,,0,8,0,8,8,0,8,0,0,0,0,15,0,8211
Jack Cardiff,Jack Cardiff,,0,2,0,2,2,0,2,0,0,0,0,1,0,2241
Legal Drama,Legal Drama,,0,3,0,3,3,0,3,0,0,0,0,6,0,8687
Animal Shelter,Animal Shelter,,0,2,0,2,2,0,2,0,0,0,0,12,0,12533
Magdeburg,Magdeburg,,0,3,0,3,3,0,3,0,0,0,0,18,0,6509
John Franklin,John Franklin,,0,2,0,2,2,0,2,0,0,0,0,7,0,15761
Boxing At The Summer Olympics,Boxing At The Summer Olympics,,0,5,0,5,5,0,5,0,0,0,0,6,0,13788
Daniel J. Bloomberg,Daniel J. Bloomberg,,0,2,0,2,2,0,2,0,0,0,0,1,0,14599
Species,Species,,0,2,0,2,2,0,2,0,0,0,0,12,0,2812
Tailcoat,Tailcoat,,0,2,0,2,2,0,2,0,0,0,0,0,0,14803
University Of Toronto,University Of Toronto,,0,3,0,3,3,0,3,0,0,0,0,8,0,1290
Royal Mail,Royal Mail,,0,3,0,3,3,0,3,0,0,0,0,5,0,11754
Schutzstaffel,Schutzstaffel,,0,4,0,4,4,0,4,0,0,0,0,13,0,5112
The Man With The Watches,The Man With The Watches,,0,4,0,4,4,0,4,0,0,0,0,3,0,4420
Rent (Musical),Rent (Musical),,0,2,0,2,2,0,2,0,0,0,0,2,0,12178
Mepyramine,Mepyramine,,0,2,0,2,2,0,2,0,0,0,0,12,0,10150
Franco-Prussian War,Franco-Prussian War,,0,3,0,3,3,0,3,0,0,0,0,16,0,4190
Ernest Defarge,Ernest Defarge,,0,2,0,2,2,0,2,0,0,0,0,11,0,15974
Theatrical Adaptation,Theatrical Adaptation,,0,2,0,2,2,0,2,0,0,0,0,13,0,7366
Kshatriya,Kshatriya,,0,3,0,3,3,0,3,0,0,0,0,7,0,12128
The Gathering Storm (2002 Film),The Gathering Storm (2002 Film),,0,2,0,2,2,0,2,0,0,0,0,3,0,9879
Subdivisions Of England,Subdivisions Of England,,0,3,0,3,3,0,3,0,0,0,0,16,0,3767
Fleury François Richard,Fleury François Richard,,0,5,0,5,5,0,5,0,0,0,0,7,0,9559
Sherlock Holmes Fandom,Sherlock Holmes Fandom,,0,63,188,251,63,188,251,3,0.357922,0.370699,61388.340821,1,0,20032
Arrietty,Arrietty,,0,2,0,2,2,0,2,0,0,0,0,1,0,14637
New Milton,New Milton,,0,2,0,2,2,0,2,0,0,0,0,16,0,11690
Project Gutenberg Australia,Project Gutenberg Australia,,0,3,0,3,3,0,3,0,0,0,0,3,0,1311
Award,Award,,0,2,0,2,2,0,2,0,0,0,0,16,0,12456
Psychology,Psychology,,0,5,0,5,5,0,5,0,0,0,0,12,0,16874
Timeline Of World War Ii (1944),Timeline Of World War Ii (1944),,0,3,0,3,3,0,3,0,0,0,0,14,0,2517
Blandings Castle,Blandings Castle,,0,2,0,2,2,0,2,0,0,0,0,13,0,17235
The Hound Of The Baskervilles (1932 Film),The Hound Of The Baskervilles (1932 Film),,0,130,169,299,130,169,299,3,0.363866,0.378001,8716.348851,9,0,20032
Justin Haythe,Justin Haythe,,0,2,0,2,2,0,2,0,0,0,0,9,0,16409
Melvyn Douglas,Melvyn Douglas,,0,8,0,8,8,0,8,0,0,0,0,15,0,11159
"Centre For Open Learning, University Of Edinburgh","Centre For Open Learning, University Of Edinburgh",,0,2,0,2,2,0,2,0,0,0,0,18,0,18558
Alfred C. Gimson,Alfred C. Gimson,,0,2,0,2,2,0,2,0,0,0,0,10,0,16151
Whistlejacket,Whistlejacket,,0,2,0,2,2,0,2,0,0,0,0,12,0,12464
Aylesford,Aylesford,,0,2,0,2,2,0,2,0,0,0,0,12,0,11852
Night Of The Ripper,Night Of The Ripper,,0,12,0,12,12,0,12,0,0,0,0,10,0,10665
Yamato Nadeshiko,Yamato Nadeshiko,,0,4,0,4,4,0,4,0,0,0,0,9,0,4379
Fanac,Fanac,,0,2,0,2,2,0,2,0,0,0,0,1,0,14516
Robin Hood,Robin Hood,,0,7,0,7,7,0,7,0,0,0,0,10,0,14246
Colin Evans (Medium),Colin Evans (Medium),,0,2,0,2,2,0,2,0,0,0,0,3,0,18764
Prince-Elector,Prince-Elector,,0,2,0,2,2,0,2,0,0,0,0,18,0,2994
Marilyn Monroe,Marilyn Monroe,,0,3,0,3,3,0,3,0,0,0,0,7,0,2156
Never Dream Of Dying,Never Dream Of Dying,,0,4,0,4,4,0,4,0,0,0,0,4,0,12705
Marooned (1933 Film),Marooned (1933 Film),,0,3,0,3,3,0,3,0,0,0,0,9,0,19665
The Sign Of Three,The Sign Of Three,,0,6,0,6,6,0,6,0,0,0,0,3,0,2676
Era Mio Fratello,Era Mio Fratello,,0,2,0,2,2,0,2,0,0,0,0,1,0,16614
Famous Players Film Company,Famous Players Film Company,,0,2,0,2,2,0,2,0,0,0,0,1,0,19823
Typhoid,Typhoid,,0,5,0,5,5,0,5,0,0,0,0,3,0,2311
Il Paradiso Delle Signore,Il Paradiso Delle Signore,,0,2,0,2,2,0,2,0,0,0,0,1,0,16592
Power Rangers,Power Rangers,,0,4,0,4,4,0,4,0,0,0,0,15,0,2058
Technical Knockout,Technical Knockout,,0,2,0,2,2,0,2,0,0,0,0,6,0,13599
Desert Island Discs,Desert Island Discs,,0,3,0,3,3,0,3,0,0,0,0,8,0,11309
Eric Ravilious,Eric Ravilious,,0,2,0,2,2,0,2,0,0,0,0,16,0,11718
Adele,Adele,,0,2,0,2,2,0,2,0,0,0,0,2,0,11496
Rutgers University,Rutgers University,,0,2,0,2,2,0,2,0,0,0,0,8,0,6878
Adur (District),Adur (District),,0,2,0,2,2,0,2,0,0,0,0,16,0,11745
Leith,Leith,,0,2,0,2,2,0,2,0,0,0,0,18,0,6526
Emergency Psychiatry,Emergency Psychiatry,,0,2,0,2,2,0,2,0,0,0,0,12,0,17597
Ralph Morgan,Ralph Morgan,,0,2,0,2,2,0,2,0,0,0,0,1,0,2048
Genocide Of Serbs In The Independent State Of Croatia,Genocide Of Serbs In The Independent State Of Croatia,,0,3,0,3,3,0,3,0,0,0,0,14,0,5664
Topper (Comic Strip),Topper (Comic Strip),,0,2,0,2,2,0,2,0,0,0,0,18,0,11875
H2 (A&E Networks),H2 (A&E Networks),,0,3,0,3,3,0,3,0,0,0,0,8,0,1440
Chaim Weizmann,Chaim Weizmann,,0,2,0,2,2,0,2,0,0,0,0,8,0,19194
Boxing,Boxing,,0,12,0,12,12,0,12,0,0,0,0,6,0,12953
David Healy (Actor),David Healy (Actor),,0,5,0,5,5,0,5,0,0,0,0,3,0,15210
Iso 14644,Iso 14644,,0,2,0,2,2,0,2,0,0,0,0,18,0,411
Campaigns Of World War Ii,Campaigns Of World War Ii,,0,2,0,2,2,0,2,0,0,0,0,14,0,5871
Upper Class,Upper Class,,0,3,0,3,3,0,3,0,0,0,0,7,0,12056
Dieselpunk,Dieselpunk,,0,2,0,2,2,0,2,0,0,0,0,11,0,1729
Lupin Iii: Dead Or Alive,Lupin Iii: Dead Or Alive,,0,4,0,4,4,0,4,0,0,0,0,1,0,8319
Fox Hunting,Fox Hunting,,0,2,0,2,2,0,2,0,0,0,0,16,0,13503
German National Library Of Economics,German National Library Of Economics,,0,4,0,4,4,0,4,0,0,0,0,3,0,15287
Martin Campbell,Martin Campbell,,0,2,0,2,2,0,2,0,0,0,0,2,0,10873
The Three Musketeers (1993 Film),The Three Musketeers (1993 Film),,0,3,0,3,3,0,3,0,0,0,0,11,0,687
Katsuyuki Konishi,Katsuyuki Konishi,,0,2,0,2,2,0,2,0,0,0,0,9,0,13322
Foreign Policy Of The United Kingdom,Foreign Policy Of The United Kingdom,,0,2,0,2,2,0,2,0,0,0,0,16,0,4115
Ncaa Division I,Ncaa Division I,,0,2,0,2,2,0,2,0,0,0,0,8,0,6901
Cleanroom Suit,Cleanroom Suit,,0,2,0,2,2,0,2,0,0,0,0,0,0,15047
Channel Tunnel,Channel Tunnel,,0,2,0,2,2,0,2,0,0,0,0,16,0,11838
Il Maresciallo Rocca,Il Maresciallo Rocca,,0,2,0,2,2,0,2,0,0,0,0,1,0,16596
Yerevan,Yerevan,,0,2,0,2,2,0,2,0,0,0,0,18,0,6354
Code Name,Code Name,,0,2,0,2,2,0,2,0,0,0,0,18,0,2649
Academy Award For Best Picture,Academy Award For Best Picture,,0,3,0,3,3,0,3,0,0,0,0,11,0,15983
Harley Owners Group,Harley Owners Group,,0,2,0,2,2,0,2,0,0,0,0,1,0,14501
Jack Harris (Film Editor),Jack Harris (Film Editor),,0,3,0,3,3,0,3,0,0,0,0,9,0,19669
Simon Prebble,Simon Prebble,,0,9,0,9,9,0,9,0,0,0,0,4,0,12737
Pneumonia,Pneumonia,,0,3,0,3,3,0,3,0,0,0,0,8,0,621
Health In The United Kingdom,Health In The United Kingdom,,0,6,0,6,6,0,6,0,0,0,0,16,0,4077
Soviet Occupation Of The Baltic States (1940),Soviet Occupation Of The Baltic States (1940),,0,3,0,3,3,0,3,0,0,0,0,14,0,2404
Shakespeare,Shakespeare,,0,9,0,9,9,0,9,0,0,0,0,4,0,7423
Cd-Rom,Cd-Rom,,0,3,0,3,3,0,3,0,0,0,0,18,0,1416
Leigh Hunt,Leigh Hunt,,0,5,0,5,5,0,5,0,0,0,0,7,0,9316
Philosopher,Philosopher,,0,3,0,3,3,0,3,0,0,0,0,12,0,9358
Rugby Football,Rugby Football,,0,2,0,2,2,0,2,0,0,0,0,12,0,6314
Death Row,Death Row,,0,2,0,2,2,0,2,0,0,0,0,12,0,2761
Jeffrey Hatcher,Jeffrey Hatcher,,0,3,0,3,3,0,3,0,0,0,0,8,0,10587
Evil Under The Sun (1982 Film),Evil Under The Sun (1982 Film),,0,2,0,2,2,0,2,0,0,0,0,5,0,18861
Handsome Na Kanojo,Handsome Na Kanojo,,0,2,0,2,2,0,2,0,0,0,0,9,0,7315
To Helen,To Helen,,0,2,0,2,2,0,2,0,0,0,0,7,0,3413
Database Cinema,Database Cinema,,0,2,0,2,2,0,2,0,0,0,0,6,0,14333
First-Person Narrative,First-Person Narrative,,0,9,0,9,9,0,9,0,0,0,0,3,0,12770
"Roku, Inc.","Roku, Inc.",,0,2,0,2,2,0,2,0,0,0,0,1,0,2024
Iso 7200,Iso 7200,,0,2,0,2,2,0,2,0,0,0,0,18,0,293
Automatic Writing,Automatic Writing,,0,2,0,2,2,0,2,0,0,0,0,3,0,18791
Agoraphobia,Agoraphobia,,0,4,0,4,4,0,4,0,0,0,0,10,0,16226
Franco-Polish Alliance (1921),Franco-Polish Alliance (1921),,0,2,0,2,2,0,2,0,0,0,0,14,0,5692
Carrie (Novel),Carrie (Novel),,0,2,0,2,2,0,2,0,0,0,0,13,0,19153
Nikolaus Lenau,Nikolaus Lenau,,0,5,0,5,5,0,5,0,0,0,0,7,0,9255
Goethe Prize,Goethe Prize,,0,2,0,2,2,0,2,0,0,0,0,12,0,9511
Ohio University,Ohio University,,0,2,0,2,2,0,2,0,0,0,0,18,0,19988
Green Party Of England And Wales,Green Party Of England And Wales,,0,2,0,2,2,0,2,0,0,0,0,8,0,1443
Dutton Penguin,Dutton Penguin,,0,2,0,2,2,0,2,0,0,0,0,8,0,18927
Siegfried Schürenberg,Siegfried Schürenberg,,0,2,0,2,2,0,2,0,0,0,0,9,0,19238
A Christmas Carol (2017 Play),A Christmas Carol (2017 Play),,0,2,0,2,2,0,2,0,0,0,0,11,0,16038
Novartis,Novartis,,0,2,0,2,2,0,2,0,0,0,0,16,0,11774
Microsoft Windows,Microsoft Windows,,0,16,0,16,16,0,16,0,0,0,0,15,0,10451
Amnon Sella,Amnon Sella,,0,2,0,2,2,0,2,0,0,0,0,14,0,6074
Underpants,Underpants,,0,2,0,2,2,0,2,0,0,0,0,0,0,14785
Edwardian,Edwardian,,0,2,0,2,2,0,2,0,0,0,0,6,0,13848
Swashbuckler Film,Swashbuckler Film,,0,2,0,2,2,0,2,0,0,0,0,6,0,8436
Rogue Literature,Rogue Literature,,0,3,0,3,3,0,3,0,0,0,0,13,0,8525
Yōtōden,Yōtōden,,0,2,0,2,2,0,2,0,0,0,0,9,0,7172
J2 Communications,J2 Communications,,0,2,0,2,2,0,2,0,0,0,0,6,0,8726
1830 United Kingdom General Election,1830 United Kingdom General Election,,0,2,0,2,2,0,2,0,0,0,0,16,0,18051
Poverty In The United States,Poverty In The United States,,0,4,0,4,4,0,4,0,0,0,0,7,0,12103
Tachycardia,Tachycardia,,0,2,0,2,2,0,2,0,0,0,0,12,0,10040
"Nursing Studies, University Of Edinburgh","Nursing Studies, University Of Edinburgh",,0,3,0,3,3,0,3,0,0,0,0,11,0,6211
Home Box Office,Home Box Office,,0,3,0,3,3,0,3,0,0,0,0,3,0,15175
Quest Red,Quest Red,,0,3,0,3,3,0,3,0,0,0,0,8,0,1128
Index Of World War Ii Articles,Index Of World War Ii Articles,,0,3,0,3,3,0,3,0,0,0,0,14,0,5569
Army Group South Ukraine,Army Group South Ukraine,,0,2,0,2,2,0,2,0,0,0,0,14,0,6034
Gleiwitz Incident,Gleiwitz Incident,,0,2,0,2,2,0,2,0,0,0,0,14,0,5631
Siege Of Tobruk,Siege Of Tobruk,,0,2,0,2,2,0,2,0,0,0,0,14,0,5088
The Thousand-And-Second Tale Of Scheherazade,The Thousand-And-Second Tale Of Scheherazade,,0,2,0,2,2,0,2,0,0,0,0,7,0,3425
The Globe And Mail,The Globe And Mail,,0,4,0,4,4,0,4,0,0,0,0,1,0,8028
Balliol College,Balliol College,,0,2,0,2,2,0,2,0,0,0,0,16,0,13434
Joseph Marshall Stoddart,Joseph Marshall Stoddart,,0,4,0,4,4,0,4,0,0,0,0,3,0,13513
Museum Of London Docklands,Museum Of London Docklands,,0,2,0,2,2,0,2,0,0,0,0,16,0,19280
Justice Hall,Justice Hall,,0,106,148,254,106,148,254,3,0.349668,0.359065,4252.799096,10,0,20032
Entertainment Studios,Entertainment Studios,,0,2,0,2,2,0,2,0,0,0,0,1,0,19829
Molotov–Ribbentrop Pact,Molotov–Ribbentrop Pact,,0,4,0,4,4,0,4,0,0,0,0,14,0,5336
Medici (Tv Series),Medici (Tv Series),,0,2,0,2,2,0,2,0,0,0,0,1,0,16548
The Private Life Of Sherlock Holmes (Book),The Private Life Of Sherlock Holmes (Book),,0,70,59,129,70,59,129,3,0.351282,0.359827,2758.085795,3,0,20032
South Downs National Park,South Downs National Park,,0,2,0,2,2,0,2,0,0,0,0,16,0,11681
Iso 22000,Iso 22000,,0,3,0,3,3,0,3,0,0,0,0,12,0,372
Ipswich,Ipswich,,0,5,0,5,5,0,5,0,0,0,0,4,0,12926
Neo-Assyrian Empire,Neo-Assyrian Empire,,0,2,0,2,2,0,2,0,0,0,0,12,0,12507
The Missing People,The Missing People,,0,2,0,2,2,0,2,0,0,0,0,9,0,4516
Six Scary Stories,Six Scary Stories,,0,2,0,2,2,0,2,0,0,0,0,13,0,19057
American Mutoscope And Biograph Company,American Mutoscope And Biograph Company,,0,3,0,3,3,0,3,0,0,0,0,1,0,14740
Artland (Company),Artland (Company),,0,3,0,3,3,0,3,0,0,0,0,9,0,14427
Andrew Gordon (Naval Historian),Andrew Gordon (Naval Historian),,0,3,0,3,3,0,3,0,0,0,0,14,0,6072
Hanna-Barbera Productions,Hanna-Barbera Productions,,0,2,0,2,2,0,2,0,0,0,0,1,0,19785
Dissident,Dissident,,0,3,0,3,3,0,3,0,0,0,0,12,0,9149
The Life Of Leonardo Da Vinci,The Life Of Leonardo Da Vinci,,0,2,0,2,2,0,2,0,0,0,0,1,0,7736
Rosencrantz And Guildenstern,Rosencrantz And Guildenstern,,0,2,0,2,2,0,2,0,0,0,0,2,0,7426
Next Northern Ireland Assembly Election,Next Northern Ireland Assembly Election,,0,2,0,2,2,0,2,0,0,0,0,16,0,3957
Jon Hall (Actor),Jon Hall (Actor),,0,2,0,2,2,0,2,0,0,0,0,2,0,15668
Noel Johnson,Noel Johnson,,0,2,0,2,2,0,2,0,0,0,0,3,0,10499
Anchor Bay Entertainment,Anchor Bay Entertainment,,0,2,0,2,2,0,2,0,0,0,0,1,0,19939
The Private Memoirs And Confessions Of A Justified Sinner,The Private Memoirs And Confessions Of A Justified Sinner,,0,2,0,2,2,0,2,0,0,0,0,18,0,6385
Dame-School,Dame-School,,0,3,0,3,3,0,3,0,0,0,0,16,0,7927
Edinburgh University A.F.C.,Edinburgh University A.F.C.,,0,3,0,3,3,0,3,0,0,0,0,18,0,6598
Sherlock Holmes And The Leading Lady,Sherlock Holmes And The Leading Lady,,0,134,228,362,134,228,362,3,0.374277,0.391689,47369.707095,9,0,20032
Atlantic Charter,Atlantic Charter,,0,2,0,2,2,0,2,0,0,0,0,14,0,6026
History Of Penicillin,History Of Penicillin,,0,2,0,2,2,0,2,0,0,0,0,14,0,5591
The Daily Telegraph,The Daily Telegraph,,0,45,0,45,45,0,45,0,0,0,0,3,0,1024
Video Game Composer,Video Game Composer,,0,5,0,5,5,0,5,0,0,0,0,15,0,4370
Three Witnesses (Film),Three Witnesses (Film),,0,3,0,3,3,0,3,0,0,0,0,9,0,2320
Simple Feature Access,Simple Feature Access,,0,2,0,2,2,0,2,0,0,0,0,18,0,185
Treaty Of London (1915),Treaty Of London (1915),,0,2,0,2,2,0,2,0,0,0,0,14,0,5013
Richard At The Lee,Richard At The Lee,,0,2,0,2,2,0,2,0,0,0,0,2,0,15631
Romantic Poetry,Romantic Poetry,,0,6,0,6,6,0,6,0,0,0,0,7,0,9215
Orc,Orc,,0,2,0,2,2,0,2,0,0,0,0,11,0,1600
Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,,0,8,0,8,8,0,8,0,0,0,0,1,0,2142
The Oblong Box (Short Story),The Oblong Box (Short Story),,0,2,0,2,2,0,2,0,0,0,0,7,0,3442
The Three Musketeers (1973 Animated Film),The Three Musketeers (1973 Animated Film),,0,2,0,2,2,0,2,0,0,0,0,11,0,691
Healthcare In England,Healthcare In England,,0,6,0,6,6,0,6,0,0,0,0,16,0,4076
Graphical Kernel System,Graphical Kernel System,,0,2,0,2,2,0,2,0,0,0,0,18,0,528
Lou Hirsch,Lou Hirsch,,0,2,0,2,2,0,2,0,0,0,0,3,0,18488
A Christmas Carol (2004 Film),A Christmas Carol (2004 Film),,0,2,0,2,2,0,2,0,0,0,0,11,0,16041
Gentleman Ghost,Gentleman Ghost,,0,3,0,3,3,0,3,0,0,0,0,6,0,15900
Youview,Youview,,0,3,0,3,3,0,3,0,0,0,0,8,0,966
Murders In The Rue Morgue (1932 Film),Murders In The Rue Morgue (1932 Film),,0,4,0,4,4,0,4,0,0,0,0,7,0,9706
Iso/Iec 7816,Iso/Iec 7816,,0,2,0,2,2,0,2,0,0,0,0,18,0,477
Jessica Fletcher,Jessica Fletcher,,0,2,0,2,2,0,2,0,0,0,0,14,0,9133
Edith Meiser,Edith Meiser,,0,53,0,53,53,0,53,0,0,0,0,3,0,13147
Fable,Fable,,0,4,0,4,4,0,4,0,0,0,0,13,0,1712
Japanese Addressing System,Japanese Addressing System,,0,2,0,2,2,0,2,0,0,0,0,6,0,13712
Legality Of Cannabis,Legality Of Cannabis,,0,3,0,3,3,0,3,0,0,0,0,12,0,4223
Iso 6385,Iso 6385,,0,2,0,2,2,0,2,0,0,0,0,18,0,311
Warsaw Pact Invasion Of Czechoslovakia,Warsaw Pact Invasion Of Czechoslovakia,,0,2,0,2,2,0,2,0,0,0,0,14,0,2357
Petronius,Petronius,,0,2,0,2,2,0,2,0,0,0,0,18,0,2917
White House,White House,,0,5,0,5,5,0,5,0,0,0,0,2,0,940
Iso 3307,Iso 3307,,0,2,0,2,2,0,2,0,0,0,0,18,0,336
Migrant Worker,Migrant Worker,,0,3,0,3,3,0,3,0,0,0,0,7,0,12121
The Killing Zone,The Killing Zone,,0,4,0,4,4,0,4,0,0,0,0,4,0,12683
"Worcester, England","Worcester, England",,0,2,0,2,2,0,2,0,0,0,0,16,0,6356
Gold (Uk Tv Channel),Gold (Uk Tv Channel),,0,3,0,3,3,0,3,0,0,0,0,8,0,11272
Verizon Communications,Verizon Communications,,0,2,0,2,2,0,2,0,0,0,0,8,0,986
Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,,0,2,0,2,2,0,2,0,0,0,0,1,0,13213
Arthouse Science Fiction Film,Arthouse Science Fiction Film,,0,2,0,2,2,0,2,0,0,0,0,6,0,14428
"Norman Fowler, Baron Fowler","Norman Fowler, Baron Fowler",,0,2,0,2,2,0,2,0,0,0,0,16,0,11775
Findarticles,Findarticles,,0,2,0,2,2,0,2,0,0,0,0,8,0,19175
Oligarchy,Oligarchy,,0,2,0,2,2,0,2,0,0,0,0,14,0,2479
Modernism,Modernism,,0,4,0,4,4,0,4,0,0,0,0,13,0,7514
Robert Zajonc,Robert Zajonc,,0,3,0,3,3,0,3,0,0,0,0,12,0,17482
Jim Broadbent,Jim Broadbent,,0,3,0,3,3,0,3,0,0,0,0,5,0,4332
German Occupation Of Czechoslovakia,German Occupation Of Czechoslovakia,,0,3,0,3,3,0,3,0,0,0,0,14,0,5647
Night Terrors (Film),Night Terrors (Film),,0,2,0,2,2,0,2,0,0,0,0,9,0,10637
Artmic,Artmic,,0,2,0,2,2,0,2,0,0,0,0,6,0,14426
Sherlock Holmes (2010 Film),Sherlock Holmes (2010 Film),,0,133,166,299,133,166,299,3,0.362229,0.375883,5383.910662,9,0,20032
Film Adaptation,Film Adaptation,,0,2,0,2,2,0,2,0,0,0,0,13,0,7563
H.R.F. Keating,H.R.F. Keating,,0,2,0,2,2,0,2,0,0,0,0,10,0,18312
Physical Dependence,Physical Dependence,,0,2,0,2,2,0,2,0,0,0,0,12,0,17510
