Id,Label,timeset,d0,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum
The Dark Tower: The Wind Through The Keyhole,The Dark Tower: The Wind Through The Keyhole,,0,2,0,2,2,0,2,0,0,0,0,13,0,4737
Posix,Posix,,0,2,0,2,2,0,2,0,0,0,0,18,0,211
Dreaming Spies,Dreaming Spies,,0,106,141,247,106,141,247,3,0.349626,0.358897,1651.671789,10,0,20032
Carl Linnaeus,Carl Linnaeus,,0,3,0,3,3,0,3,0,0,0,0,12,0,10382
Peter And Wendy (Film),Peter And Wendy (Film),,0,2,0,2,2,0,2,0,0,0,0,11,0,629
Evidence (Law),Evidence (Law),,0,2,0,2,2,0,2,0,0,0,0,12,0,17947
Baker Street,Baker Street,,0,26,293,319,26,293,319,3,0.346281,0.35673,92798.168656,16,0,20032
Fodor'S,Fodor'S,,0,2,0,2,2,0,2,0,0,0,0,8,0,18925
Dorothy B. Hughes,Dorothy B. Hughes,,0,3,31,34,3,31,34,5,0.211171,0.219097,3599.642344,8,0,20032
Jean Renoir,Jean Renoir,,0,2,0,2,2,0,2,0,0,0,0,1,0,2231
Akira Toriyama,Akira Toriyama,,0,2,0,2,2,0,2,0,0,0,0,1,0,14454
London Paddington Station,London Paddington Station,,0,4,0,4,4,0,4,0,0,0,0,16,0,8915
Internet,Internet,,0,3,0,3,3,0,3,0,0,0,0,13,0,1267
Territories Of The United States,Territories Of The United States,,0,2,0,2,2,0,2,0,0,0,0,8,0,19510
Kimono,Kimono,,0,2,0,2,2,0,2,0,0,0,0,0,0,14950
Blinding Edge Pictures,Blinding Edge Pictures,,0,2,0,2,2,0,2,0,0,0,0,1,0,19913
Ian Dickerson,Ian Dickerson,,0,74,0,74,74,0,74,0,0,0,0,3,0,12611
Gambit (Marvel Comics),Gambit (Marvel Comics),,0,2,0,2,2,0,2,0,0,0,0,6,0,2638
